Row ID,yes_rsvp_count,name,time,status,rsvp_id,created,member_id,event_id,offset
76,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,193862452,9/15/2011 12:32,21698301,33054232,-11.24833333
77,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,193952892,9/15/2011 14:12,21383321,33054232,-11.17857639
78,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,194047272,9/15/2011 15:54,23084231,33054232,-11.10810185
79,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,196917752,9/19/2011 13:41,13761738,33054232,-7.200497685
80,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,196924082,9/19/2011 13:47,23649571,33054232,-7.196180556
81,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,196957652,9/19/2011 14:19,11394943,33054232,-7.17375
82,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,196998342,9/19/2011 15:01,9942020,33054232,-7.144814815
83,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,197221392,9/19/2011 19:08,2891142,33054232,-6.973136574
84,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,197441832,9/20/2011 0:07,521544,33054232,-6.765636574
85,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,197584892,9/20/2011 8:27,10507595,33054232,-6.418229167
86,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,197710682,9/20/2011 11:29,12004411,33054232,-6.292152778
87,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,197808542,9/20/2011 13:18,19613431,33054232,-6.216354167
88,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,198418062,9/21/2011 3:31,8411750,33054232,-5.62380787
89,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,198490642,9/21/2011 8:29,12251810,33054232,-5.417314815
90,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,198502432,9/21/2011 8:47,17015941,33054232,-5.404247685
91,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,198621572,9/21/2011 11:43,9502553,33054232,-5.282349537
92,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,198651402,9/21/2011 12:23,25928502,33054232,-5.254641204
93,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,198741532,9/21/2011 14:03,12302420,33054232,-5.184953704
94,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,198779842,9/21/2011 14:39,13266674,33054232,-5.160023148
95,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,198911892,9/21/2011 16:53,15887331,33054232,-5.067152778
96,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,201745292,9/25/2011 15:01,13750864,33054232,-1.144641204
97,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,201778722,9/25/2011 15:53,13585601,33054232,-1.108460648
98,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,201824192,9/25/2011 17:03,14928421,33054232,-1.060115741
99,65,"Presentation/Discussion: ""What the heck is Data Science, anyway?""",9/26/2011 18:30,past,202003152,9/25/2011 21:34,13142145,33054232,-0.871608796
